SMILES,ID,pH
CS(=O)(=O)CCN(CCI)C1=C(C=C(C(=C1)C(N)=O)N(=O)=O)N(=O)=O,R5098,7.4
NC1CC2CCC1C3=CC=CC=C23,R5099,13
NC1CC2CCC1C3=CC=CC=C23,R5100,1
NC1CC2CCC1C3=CC=CC=C23,R5101,1
CNC1CC2CC1C3=CC=CC=C23,R5102,13
CNC1CC2CC1C3=CC=CC=C23,R5103,1
CNC1CC2CC1C3=CC=CC=C23,R5104,13
CNC1CC2CC1C3=CC=CC=C23,R5105,1
CNC1C2CCC1C3=CC=CC=C23,R5106,13
CNC1C2CCC1C3=CC=CC=C23,R5107,13
NC12CCCC1CC3=CC=CC=C23,R5108,7.4
CN1CCC(=CC1)C2=CC=CC=C2,R5109,7.5
CN1CC(C)(C)C(=O)C2=C1C=CC=C2,R5110,7
C1CN2CCOC2(C1)C3=CC=CC=C3,R5111,7.4
CNC(=O)OC1=CC=CC2=C1OC(C)(C)C2,R5112,7
NC(=O)CCCCOC(=O)C1=CC=CC=C1,R5113,7
COC(=O)C(CC1=CC=CC=C1)NC(C)=O,R5114,2.2
CCCC(=O)OCOC1=CC=CC=C1C(N)=O,R5115,7.4
CC(=O)OC1=CC=C(CCN)C=C1OC(C)=O,R5116,7.4
COC(=O)C(CC1=CC=C(O)C=C1)NC(C)=O,R5117,2.2
CN(CCO)C(=O)COC(=O)C1=CC=CC=C1O,R5118,7.4
C1CCC(CC1)N2N=C3C=CC=CC3=N2,R5119,5.6
C1CCC(CC1)N2N=NC3=C2C=CC=C3,R5120,5.6
O=C(NN=C1CCCCC1)C2=CC=NC=C2,R5121,5.8
CCCCC(N1N=C2C=CC=CC2=N1)C(O)=O,R5122,5.6
CCOC(=O)C(CC)N1N=NC2=C1C=CC=C2,R5123,5.6
CCOC(=O)CC(C)N1N=C2C=CC=CC2=N1,R5124,5.6
CCCCC(N1N=NC2=CC=CC=C12)C(O)=O,R5125,5.6
CCOC(=O)C(C)(C)N1N=NC2=C1C=CC=C2,R5126,5.6
CCOC(=O)C(C)(C)N1N=C2C=CC=CC2=N1,R5127,5.6
CCOC(=O)CC(C)N1N=NC2=C1C=CC=C2,R5128,5.6
CCOC(=O)C(CC)N1N=C2C=CC=CC2=N1,R5129,5.6
OC(=O)CCCCCN1N=C2C=CC=CC2=N1,R5130,5.6
OC(=O)CCCCCN1N=NC2=C1C=CC=C2,R5131,5.6
CCOC(=O)CCCN1N=NC2=C1C=CC=C2,R5132,5.6
CCOC(=O)CCCN1N=C2C=CC=CC2=N1,R5133,5.6
CC1=C(O)C(=O)C=CN1CCCN2C=CN=C2,R5134,7.4
CC1=C(O)C(=O)C=CN1CCCN2C=CN=C2,R5135,7.4
CN1C=CC=CC1NS(=O)(=O)C2=CC=C(N)C=C2,R5136,6
CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,R5137,7.4
CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,R5138,7.4
CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,R5139,7.4
CCCS(=O)C1=CC=C2NC(NC(=O)OC)=NC2=C1,R5140,7.4
CCCS(=O)C1=CC=C2NC(NC(=O)OC)=NC2=C1,R5141,6.6
CC(=O)NC1=NC(=O)N(C=C1)C2CSC(COC(C)=O)O2,R5142,7.4
CCCCC(NC1=C(C=C(C=C1)N(=O)=O)N(=O)=O)C(O)=O,R5143,7.4
CCCCC(NC1=C(C=C(C=C1)N(=O)=O)N(=O)=O)C(O)=O,R5144,2
CCCCC(NC1=C(C=C(C=C1)N(=O)=O)N(=O)=O)C(O)=O,R5145,4.5
CCCCC(NC1=C(C=C(C=C1)N(=O)=O)N(=O)=O)C(O)=O,R5146,6.6
CCCCC(NC1=C(C=C(C=C1)N(=O)=O)N(=O)=O)C(O)=O,R5147,7.4
CCCCC(NC1=C(C=C(C=C1)N(=O)=O)N(=O)=O)C(O)=O,R5148,8.5
CCCCC(NC1=C(C=C(C=C1)N(=O)=O)N(=O)=O)C(O)=O,R5149,11
NN1C(NC2=CC=CC=C2)=NN=C(N)C1=O,R5150,7
N=C1NC(=O)NC2=C1N(C=N2)C3=CCCCC3,R5151,7.4
O(C1=C(CC=2C(=NC(=NC2)N)N)C(OC)=CN=C1)C,R5152,7.4
COC1=NC(OC)=C(CC2=C(N)N=C(N)N=C2)C=C1,R5153,7.4
CN(C)N=NC1=CC=C(C=C1)S(=O)(=O)NC2=NOC(C)=C2,R5154,7.5
CC(=O)OC[C@H]1O[C@H](C[C@@H]1N=N#N)N2C=C(C)C(=O)NC2=O,R5155,7
CCCCNC(=O)C1=C(O)C(C)=CC(Br)=C1,R5156,1
CCNC(NCCSCC1=NC=CC=C1Br)=NCC,R5157,9
CCN(CC)C(=O)SCC1=CC=C(Cl)C=C1,R5158,7
CCOC(=O)CC(CN)C1=CC=C(Cl)C=C1,R5159,7.4
ClC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCCC2,R5160,7.4
NS(=O)(=O)C1=C(Cl)C=C2NC3(CCCCC3)NS(=O)(=O)C2=C1,R5161,6.5
CCCCCC1=NS(=O)(=O)C2=C(N1)C=C(Cl)C(=C2)S(N)(=O)=O,R5162,6.5
CCCCCC1=NS(=O)(=O)C2=C(N1)C=C(Cl)C(=C2)S(N)(=O)=O,R5163,6.5
CCCCN(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,R5164,7.4
CNC1=C2N=CN(C3OC(CO)CC3F)C2=NC(C)=N1,R5165,7
CN(C)C1=C2N=CN(C3OC(CO)CC3F)C2=NC=N1,R5166,7.4
CCNC1=C2N=CN(C3OC(CO)CC3F)C2=NC=N1,R5167,7.4
OCC1OC(C(F)C1O)N2C=C(CCCF)C(=O)NC2=O,R5168,7.4
CCNC(C)CC1=CC=CC(=C1)C(F)(F)F,R5169,13
C1CCN2CCC3=C(N=CC=C3)C2C1,R5170,7.4
CN1C2CCC1C(C2)C3=CC=CN=C3,R5171,7.4
CN1C2CCC1C(C2)C3=CC=CN=C3,R5172,13
CN1C2CCC1C(C2)C3=CC=CC=N3,R5173,7.4
CN1C2CCC1C(C2)C3=CC=CC=N3,R5174,13
CC1CN(CCN1)C(=O)C2=CC=CC=C2,R5175,6
C(OC1=C(C=CC=C1)C2CC2)C3=NCCN3,R5176,7.4
O=C1N2CCCC2=NC3=C1CCCCC3,R5177,5
O=C1N2CCCC2=NC3=C1CCCCC3,R5178,5
O=C1N2CCC(CC2=NC3=C1CCC3)C,R5179,5
O=C1N2CC(CCC2=NC3=C1CCC3)C,R5180,5
CC1CCCC2=NC3=C(CCC3)C(=O)N12,R5181,5
O=C1N2CCCCCC2=NC3=C1CCC3,R5182,5
O=C1N2C(=NC3C1CCCC3)CCCC2,R5183,5
O=C(NC)[C@@H](NC(=O)C)CC1=CC=CC=C1,R5184,2.1
CCNCC(O)COC1=C(C=CC=C1)C#N,R5185,7
CC1=CC(OCC2CN=C(N)O2)=CC(C)=C1,R5186,11
CC1=CC(OCC2CN=C(N)O2)=CC(C)=C1,R5187,12
CC1=C(C)C=C(OCC2CN=C(N)O2)C=C1,R5188,11
CC1=C(C)C=C(OCC2CN=C(N)O2)C=C1,R5189,12
CC1=CC=CC(C)=C1OCC2CN=C(N)O2,R5190,11
CC1=CC=CC(C)=C1OCC2CN=C(N)O2,R5191,12
CC1=CC(OCC2CN=C(N)O2)=C(C)C=C1,R5192,11
CC1=CC(OCC2CN=C(N)O2)=C(C)C=C1,R5193,12
CC1=CC=C(OCC2CN=C(N)O2)C(C)=C1,R5194,11
CC1=CC=C(OCC2CN=C(N)O2)C(C)=C1,R5195,12
CC1=C(C)C(OCC2CN=C(N)O2)=CC=C1,R5196,11
CC1=C(C)C(OCC2CN=C(N)O2)=CC=C1,R5197,12
CCC1=CC=C(OCC2CN=C(N)O2)C=C1,R5198,11
CCC1=CC=C(OCC2CN=C(N)O2)C=C1,R5199,12
OC1=C(C=CC=C1)C(=O)NCN2CCOCC2,R5200,7.4
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2,R5201,7.4
CN1C(=O)NC(=O)C(C)(C1=O)C2=CCCCC2,R5202,8
CN1C(=O)NC(=O)C(C)(C1=O)C2=CCCCC2,R5203,7.4
O=C(NC)[C@@H](NC(=O)C)CC1=CC=C(O)C=C1,R5204,2.1
O=C1N2C(CCCC2=NC=C1C(OCC)=O)C,R5205,5
O=C1N2CCC(CC2=NC=C1C(OCC)=O)C,R5206,5
O=C1N2CC(CCC2=NC=C1C(OCC)=O)C,R5207,5
CCOC1=CC=CC=C1OCC2CN=C(N)O2,R5208,11
S1CCCN=C1NC2=C(C=CC=C2C)C,R5209,7.4
S1CCCN=C1NC2=C(C=CC=C2C)C,R5210,7.4
S1CCCN=C1NC2=C(C)C=CC=C2C,R5211,7.4
COC1=CC(=CC=C1)C(=O)NP(=O)(N2CC2)N3CC3,R5212,7.4
COC1=CC=C(C=C1)C(=O)NP(=O)(N2CC2)N3CC3,R5213,7.4
COC1=CC=C(C=C1)C(=O)NP(=O)(N2CC2)N3CC3,R5214,7.4
CCCCC(N1N=NC2=C1C=CC=C2)C(N)=O,R5215,5.6
CCCCC(N1N=C2C=CC=CC2=N1)C(N)=O,R5216,5.6
NC(=O)CCCCCN1N=NC2=C1C=CC=C2,R5217,5.6
NC(=O)CCCCCN1N=C2C=CC=CC2=N1,R5218,5.6
CC1=C2NCCOC2=CC=C1N=C3NCCN3,R5219,7.4
CC1=C(CSCCNC2=CC(=O)N2)N=CN1,R5220,9
CNC1=C(NCCSCC2=C(C)NC=N2)C(=O)C1=O,R5221,9
CC(=O)OCC(CNC(=O)CN1C=CN=C1N(=O)=O)OC(C)=O,R5222,7.4
CC1(C)N=C(N)N=C(N)N1C2=CC=CC(=C2)C(N)=O,R5223,7.4
CC1(C)N=C(N)N=C(N)N1C2=CC=CC(=C2)C(N)=O,R5224,7.4
CC(C)(C)C1=CC=C(CC(O)=O)C=C1,R5225,3.5
CC(C)CC1=CC=C(CC(O)=O)C=C1,R5226,3.4
OC(=O)CCCCCC1=CC=CC=C1,R5227,3
O(C(C)C)C1=C(OC)C=C(C=C1)CC(O)=O,R5228,3.4
CCCC(=O)OCCC1=CC(O)=C(O)C=C1,R5229,7.4
CCC(=O)OCCC1=CC(OC)=C(O)C=C1,R5230,7.4
CCCC1=C(C)C(C(O)=O)=C(CCC(O)=O)O1,R5231,7.4
OCC1OC(SC2=CC=CC=C2)C(O)C(O)C1O,R5232,7.5
CCCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,R5233,7.4
CCC(C)C1(CC(Br)=C)C(=O)NC(=O)N(C)C1=O,R5234,7.4
OCC1OC(CC1O)N2C=C(CCCF)C(=O)NC2=O,R5235,7.4
CN(C)/C=N/C1=NC(=O)N(C=C1)[C@H]2C[C@H](F)[C@@H](CO)O2,R5236,7.4
CNCCCCNC(=O)C1=CC=C(I)C=C1,R5237,7.4
NC1=CC=C(C=C1)C2CCCCC2,R5238,7.5
OC(C1CCCCN1)C2=CC=CC=C2,R5239,2.7
COC1=C2CCC(N)C(C)C2=CC=C1,R5240,7.4
CCC(C)C1=CC=CC=C1OC(=O)NC,R5241,7
CC1CN(C)CC(O)(O1)C2=CC=CC=C2,R5242,7.4
CC1N(C)CCOC1(O)C2=CC=CC=C2,R5243,7.4
OCCNCCCC(=O)C1=CC=CC=C1,R5244,7.4
CN(C)C1CCC2=CC(O)=C(O)C=C2C1,R5245,7.4
CN(C)CCOC(=O)C1=CC=C(C)C=C1,R5246,7.4
CN(C)CCOC(=O)C1=CC=C(C)C=C1,R5247,7.24
CC1=CC(=O)N(O)C(=C1)C2CCCCC2,R5248,6
CCCCOC1=CC=C(CC(=O)NO)C=C1,R5249,2.2
CCCCOC1=CC=C(CC(=O)NO)C=C1,R5250,7.4
CCCCOC1=CC=C(CC(=O)NO)C=C1,R5251,7
COC1=CC=C(C=C1)C(=O)OCCN(C)C,R5252,7.4
OC(=O)CCCCCCCN1C(=O)C=CC1=O,R5253,7.4
CC(C)OC(=O)C(N)CC1=CC=C(O)C(O)=C1,R5254,7.4
CCCOC(=O)C(N)CC1=CC=C(O)C(O)=C1,R5255,7.4
CCCCCOC(=O)C1=CC=C(C=C1)S(N)(=O)=O,R5256,4.5
CN(C)CCOC(=O)C1=CC=C(C=C1)S(C)(=O)=O,R5257,7.4
CC(O)COC(=O)C(N)CC1=CC=C(O)C(O)=C1,R5258,7.4
NC12CCCCC1CCC3=C2C=CS3,R5259,7.4
CCCCCCN1N=NC2=C1C=CC=C2,R5260,5.6
CCCCC(C)N1N=C2C=CC=CC2=N1,R5261,5.6
CCCCC(C)N1N=NC2=C1C=CC=C2,R5262,5.6
CCCCCCN1N=C2C=CC=CC2=N1,R5263,5.6
CC1=CC(C)=C(N=C2NCCN2)C(C)=C1,R5264,7.4
CC1=CC(C)=C(N=C2NCCN2)C(C)=C1,R5265,7.4
OCCCCCCN1N=C2C=CC=CC2=N1,R5266,5.6
OCCCCCCN1N=NC2=C1C=CC=C2,R5267,5.6
CC1=CC=CC=C1NC(=O)C2CNCCN2,R5268,7.4
CCN1C=C(C(N)=O)C(=O)N2C(C)CCC=C12,R5269,5
CCCCN(C)N=NC1=CC=C(C=C1)C(O)=O,R5270,7.5
CN(C)C1=CC=C(OCC2CN=C(N)O2)C=C1,R5271,11
CN(C)N=NC1=CC=C(CCCC(O)=O)C=C1,R5272,7.4
CN(C)N=NC1=CC=C(CCCC(O)=O)C=C1,R5273,7
CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CCCC2,R5274,7.4
CC(=O)OC1CC(OC1CN)N2C=C(C)C(=O)NC2=O,R5275,7
CN(C)C1=CC=C(NN2C(C)=CC=C2C)N=N1,R5276,7.4
CC1=CC=C(C=C1)N2C(N)=NC(N)=NC2(C)C,R5277,13
CC1=CC(=CC=C1)N2C(N)=NC(N)=NC2(C)C,R5278,7.4
CC1=C2NCCNC2=CC=C1N=C3NCCN3,R5279,7.2
CC1=C2NCCNC2=CC=C1N=C3NCCN3,R5280,7.4
COC1=CC=C(C=C1)N2C(N)=NC(N)=NC2(C)C,R5281,13
CNC(NCCSCC1=NC=CC=C1OC)=NC#N,R5282,9
CN1C(=O)NC2=C(N(CCCC(O)=O)C=N2)C1=N,R5283,7.4
CC(C)CC(N)C(=O)OCN1N=CC2=C1N=CNC2=O,R5284,8
CCN(CC)CC(=O)OCN1N=CC2=C1N=CNC2=O,R5285,8
CCCC(=O)OCCOCN1C=NC2=C1N=C(N)NC2=O,R5286,7.4
CN1CCN(CC(=O)NN=CC2=CC=C(O2)N(=O)=O)CC1,R5287,7.4
CCC(=O)OCC(CO)OCN1C=NC2=C1N=C(N)NC2=O,R5288,7.4
S(P(=S)(OC)OC)C(C1=CC=CC=C1)C(OCC)=O,R5289,7
COC1=CC=C(CCCN(C)C)C=C1Cl,R5290,7.4
ClC1=CC=C(N\C(=N\C(=N\CCCC)\N)\N)C=C1,R5291,5
CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1,R5292,13
CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1,R5293,13
CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1,R5294,13
CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1,R5295,13
CC(C)NC(C)CC1=CC=C(I)C=C1,R5296,7.4
CC(C)NC(C)CC1=CC=C(I)C=C1,R5297,7
CC(C)NC(C)CC1=CC=C(I)C=C1,R5298,7
CC(C)NC(C)CC1=CC=C(I)C=C1,R5299,7.4
CC(C)NC(C)CC1=CC=C(I)C=C1,R5300,7.4
C(CC1=CN=CC=C1)N2CCCCC2,R5301,11
CN(C)CCCNC(=O)C1=CC=CC=C1,R5302,11
CC(C)C1=CC=C(NC(=O)N(C)C)C=C1,R5303,7
CN(C)CC(=O)NC1=C(C)C=CC=C1C,R5304,7.4
CN(C)CC(=O)NC1=C(C)C=CC=C1C,R5305,12.5
CN(C)CC(=O)NC1=C(C)C=CC=C1C,R5306,7
CC(C)CNCNC(=O)C1=CC=CC=C1,R5307,7.4
CC(C)CNCNC(=O)C1=CC=CC=C1,R5308,9.2
O=C1N2C(CCCC2=NC(=C1CC)C)C,R5309,5
O=C(CCCNCCN)C1=CC=CC=C1,R5310,7.4
COC1=CC=CC=C1C(=O)NCCCCN,R5311,11
CC1=C(O)C(=O)C=CN1CCN2CCCC2,R5312,7.4
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,R5313,7.4
CC(C)(C)CC1(CC=C)C(=O)NC(=O)NC1=O,R5314,7.4
CC(C)(C)CC1(CC=C)C(=O)NC(=O)NC1=O,R5315,1
CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,R5316,7.4
CCOC(=O)C1=CNC2CCCC(C)N2C1=O,R5317,5
CC(C)C1(CC=C(C)C)C(=O)NC(=O)NC1=O,R5318,3
CCCNC(=O)CCN1C=CC(=O)C(O)=C1C,R5319,7.4
CCN(C)C(=O)CCN1C=CC(=O)C(O)=C1C,R5320,7.4
CC(C)NC(=O)CCN1C=CC(=O)C(O)=C1C,R5321,7.4
CC1=C(O)C(=O)C=CN1CCN2CCOCC2,R5322,7.4
CN1C(C)=CC(=O)C(O)=C1CN2CCOCC2,R5323,7.4
CCCCCNC(=O)C1=CC=C(C=C1)S(N)(=O)=O,R5324,4.5
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,R5325,7.4
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,R5326,7.3
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,R5327,7.4
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,R5328,7.4
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,R5329,7.4
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,R5330,7.4
CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,R5331,7.4
CCOC(=O)C=C1NC(=O)C(S1)N2CCCCC2,R5332,5.9
CCOC(=O)C=C1NC(=O)C(S1)N2CCCCC2,R5333,7.4
CCOC(=O)C=C1SC(N2CCCC2)C(=O)N1C,R5334,5.9
CCOC(=O)C=C1SC(N2CCCC2)C(=O)N1C,R5335,7.4
CCCCCCCOC(=O)C1=CC(=O)NC(=O)N1,R5336,1.2
CN1C(CO)=CC(=O)C(O)=C1CN2CCOCC2,R5337,7.4
CCCC(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O,R5338,7.2
CCCCCCOC1=C(C=C(C=C1)S(N)(=O)=O)N(=O)=O,R5339,1.5
CCCCCCOC1=C(C=C(C=C1)S(N)(=O)=O)N(=O)=O,R5340,2.1
COC1OC(C(OC)C1OC)N2C=CC(=O)NC2=O,R5341,7.4
CN(C)C=NC1=NC(=O)N(C=C1)C2CCC(CO)O2,R5342,7.4
CN(C1CCCCC1)C(=O)C2=C(C(C)=NN2)N(=O)=O,R5343,1
CN(C)C=NC1=NC(=O)N(C=C1)C2CC(O)C(CO)O2,R5344,7.4
O1C(N2C=CC(=NC2=O)/N=C/N(C)C)[C@@H](O)C(O)C1CO,R5345,7.4
CC1=NC=C(N1CCOC(=O)CN2CCOCC2)N(=O)=O,R5346,7.4
CN(CCN)S(=O)(=O)C1=CC=C(C(=C1)N(=O)=O)C(C)(C)N(=O)=O,R5347,7.4
NC1=NCC(CN2CCN(CC2)C3=NC=CC=N3)O1,R5348,11
CCCCCCC1=C(O)C=C(O)C=C1,R5349,7.4
CC(N)CC1=CC(C)=C(C)C(C)=C1,R5350,7.4
CNC(CC1=CC=CC=C1)C(C)C,R5351,7.5
CNC(CC1=CC=CC=C1)C(C)C,R5352,7.4
CN(C)CCCCC1=CC=CC=C1,R5353,7.4
CC(C)CC(C)CC1=CC=CC=C1,R5354,12
CC(C)(C)C(N)CC1=CC=CC=C1,R5355,12
CCCCC(N)CC1=CC=CC=C1,R5356,12
CN(C)CCCC1=CC=C(C)C=C1,R5357,7.4
CCN(CC)CC(O)C1=CC=CC=C1,R5358,13
CN(C)CCOC1=CC(C)=CC(C)=C1,R5359,7.4
CN(C)CCOC1=C(C)C=CC=C1C,R5360,7.4
CCCCNCC(O)C1=CC=CC=C1,R5361,1
COC1=CC=C(CCCN(C)C)C=C1,R5362,7.4
CC(C)NCC(O)COC1=CC=CC=C1,R5363,7.4
CC(C)NCC(O)COC1=CC=CC=C1,R5364,7
COC1=CC(CC(C)N)=C(OC)C=C1C,R5365,8
COC1=CC(CC(C)N)=C(OC)C=C1C,R5366,7
CCOC1=CC(OCCN(C)C)=CC=C1,R5367,7.4
CCCCCCN1C=CC(=O)C(O)=C1C,R5368,7.4
CCCCCCN1C=CC(=O)C(O)=C1C,R5369,7.4
CCN(CC)CCC1=CC(O)=C(O)C=C1,R5370,7.4
CC(C)NC(CO)C(O)C1=CC=CC=C1,R5371,7.4
COC1=CC(CC(C)N)=C(OC)C=C1SC,R5372,8
CCOC1=C(OC)C=C(CCN)C=C1OC,R5373,8
COC1=CC(OC)=C(CC(C)N)C(OC)=C1,R5374,7.4
COC1=CC(OC)=C(CC(C)N)C(OC)=C1,R5375,7
COC1=CC(CC(C)N)=C(OC)C=C1OC,R5376,7.4
COC1=CC(CC(C)N)=C(OC)C=C1OC,R5377,8
COC1=C(OC)C(OC)=C(CC(C)N)C=C1,R5378,7.4
COC1=C(OC)C(OC)=C(CC(C)N)C=C1,R5379,8
COC1=C(OC)C(OC)=C(CC(C)N)C=C1,R5380,7
COC1=CC(CC(C)N)=CC(OC)=C1OC,R5381,8
COC1=CC(CC(C)N)=CC(OC)=C1OC,R5382,7
CCCCOCC1=C(O)C(C)=NC=C1CO,R5383,7.4
COC1=CC(=CC=C1O)C(O)CNC(C)C,R5384,7.4
CCOCCCN1C=CC(=O)C(O)=C1CC,R5385,7.4
COC1=CC=CC(OC)=C1OCCN(C)C,R5386,7.4
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5387,7.4
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5388,5.5
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5389,7
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5390,9.8
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5391,7.4
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5392,9
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5393,7.4
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5394,7.3
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5395,4.5
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5396,2
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5397,6.6
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5398,8.5
CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,R5399,11
CC(C)NCC(O)COC1=CC=C(O)C=C1,R5400,7.4
S(=O)(=O)(N)C1=CC=C(OCCCCCC)C=C1,R5401,1.5
CCCCCCOC1=CC=C(C=C1)S(N)(=O)=O,R5402,2.1
CCOC(OCC)CN1C=CC(=O)C(O)=C1C,R5403,7.4
CNNCC1=CC=C(C=C1)C(=O)NC(C)C,R5404,10.1
OC(CN1C2CCCCC12)CN3C=CN=C3,R5405,7.4
CCN1C=C(C(N)=O)C(=O)N2C(C)CCCC12,R5406,5
CCN(CC)NC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,R5407,7.4
CNCCN(C)S(=O)(=O)C1=CC(=C(CONC(N)=O)C=C1)N(=O)=O,R5408,7.4
NCCC(=O)NC(CC1=CNC=N1)C(=O)NCC(CN(=O)=O)ON(=O)=O,R5409,7.4
NCCC(=O)NC(CC1=CNC=N1)C(=O)NCC(CN(=O)=O)ON(=O)=O,R5410,7.4
OC(CNC1CCCCC1Br)CN2C=CN=C2,R5411,7.4
OC(CNC1CCCCC1Br)CN2C=CN=C2,R5412,7.4
NC12CC3CC(C1)CC(CCF)(C3)C2,R5413,7.4
CC(C)N(CC1=CC=CN=C1)C(C)C,R5414,11
CCCN(CCC)CC1=CC=CN=C1,R5415,11
CC(=C)CC(CC(C)=C)(NC(C)=O)C(N)=O,R5416,7
CCN(CC)CCN1C=CC(=O)C(O)=C1C,R5417,7.4
CCN(CC)CCN1C=CC(=O)C(O)=C1C,R5418,7.4
CCCC(C)C1(CC)C(=O)NC(=O)N(C)C1=O,R5419,0.7
CCCC(C)C1(CC)C(=O)NC(=O)N(C)C1=O,R5420,7.4
CCCCCCC1(CC)C(=O)NC(=O)NC1=O,R5421,7.4
CCC1(CCC(C)C)C(=O)NC(=O)N(C)C1=O,R5422,0.7
CCCCC1(CCCC)C(=O)NC(=O)NC1=O,R5423,1
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5424,7
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5425,8
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5426,7
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5427,7.4
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5428,7.4
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5429,7.4
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5430,7.4
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5431,7.4
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5432,4.5
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5433,2
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5434,6.6
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5435,7.4
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5436,11
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5437,8.5
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5438,7.4
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5439,3
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5440,11
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5441,7
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,R5442,7.4
CCOC(=O)C=C1SC(N(CC)CC)C(=O)N1C,R5443,5.9
CCOC(=O)C=C1SC(N(CC)CC)C(=O)N1C,R5444,7.4
CC(C)CNCCS(=O)(=O)C1=CC=C(C=C1)S(N)(=O)=O,R5445,7.4
CCN(CC)CC(=O)OCCN1C(C)=NC=C1N(=O)=O,R5446,7.4
CC(=O)NC1C(NC(N)=N)C=C(OC1C(O)C(O)CO)C(O)=O,R5447,7.4
CCOC(=O)C1=CC(NC(N)=N)C(NC(C)=O)C(O1)C(O)C(O)CO,R5448,7.4
NCCC(=O)NC(CC1=CNC=N1)C(=O)NCCCN(=O)=O,R5449,7.4
CC12CC3CC(C)(C1)CC(N)(C3)C2,R5450,7.4
CCCCC1(CCC=N1=O)C(=O)OCCC,R5451,7
CCCCC1(CCC=N1=O)C(=O)OC(C)C,R5452,7
CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,R5453,7.4
CCOP(=S)(OCC)OC1=CC(C)=NC(=N1)C(C)C,R5454,7
CCCC1=NC(NCC)=NC(=N1)N2CCOCC2,R5455,7.4
CCCNC(=O)C(CC1=CNC=N1)NC(=O)CCN,R5456,7.4
CCCC(=O)OCC1CCN(CCF)CC1,R5457,7.4
