SMILES,ID,pH
NC(=O)C1=C(N)NC=N1,R173,9
CSC1=NN=CC(=O)N1N,R174,7
NC(=O)CNC(=O)C=N#N,R175,7.4
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,R176,5.5
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,R177,7.2
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,R178,7.4
C1OC1C2CO2,R179,7.4
OC(=O)C1CC1,R180,1
C/C=C/C(O)=O,R181,2
CCOC(=O)CBr,R182,7.1
CCOC(=O)CCl,R183,5
O=C1CCCN1,R184,5
O=C1CCCN1,R185,7.4
CSCC(=O)C=NO,R186,7.8
CC(=O)NCC(O)=O,R187,7.4
CS(=O)CC(=O)C=NO,R188,7.8
CS(=O)CC(=O)C=NO,R189,7.8
NC(CC(O)=O)C(O)=O,R190,7.1
NC(CC(O)=O)C(O)=O,R191,7.4
CS(=O)(=O)CC(=O)C=NO,R192,7.7
CS(=O)(=O)CC(=O)C=NO,R193,7.8
CN1CC(=O)NC1=N,R194,7.4
CN1CC(=O)NC1=N,R195,7.4
NNC(=O)CNC(=O)C=N#N,R196,7.4
BrCC(=O)NCC,R197,7.1
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,R198,7.5
CN(C)CC(F)(F)F,R199,13
CCNCC(F)(F)F,R200,13
CC(=O)NCC(N)=O,R201,7.1
CC(=O)NCC(N)=O,R202,7
NC1CCN(O)C1=O,R203,7.4
NC(CC(N)=O)C(O)=O,R204,7.1
CCC(=O)OC,R205,7.4
CCOC(C)=O,R206,7.4
C1CCNC1,R207,13
CN(C)C(C)=O,R208,1
CC(C)(C)N=O,R209,7.5
NCCCC(O)=O,R210,7
NCCCC(O)=O,R211,7
NCCCC(O)=O,R212,5
NCCCC(O)=O,R213,7.4
CCCOC(N)=O,R214,7.4
CC(O)C(N)C(O)=O,R215,7
CC(O)C(N)C(O)=O,R216,7.1
CCCN(N=O)C(N)=O,R217,4
CC(C)OP(O)(=O)C(Cl)(Cl)P(O)(O)=O,R218,7.4
CN(C)CCF,R219,7.4
C1CNCCN1,R220,13
CCCCO,R221,6
CCCCO,R222,7
CCCCO,R223,7.4
COC(OC)OC,R224,13
CCN(C)C,R225,13
CCC(C)N,R226,13
CCNCC,R227,13
CCCCN,R228,7
CCCCN,R229,13
CCCCN,R230,9.4
CCCCN,R231,13
CC(C)CN,R232,13
CC(C)CN,R233,9.4
CC(C)CN,R234,13
CCCNC,R235,13
CN(C)C(=N)NC(N)=N,R236,7.3
CN(C)C(=N)NC(N)=N,R237,4
CN(C)C(=N)NC(N)=N,R238,7.4
NCCCCN,R239,7.5
CNCCNC,R240,13
[2H]C1=NC([2H])=C([2H])C([2H])=C1[2H],R241,7.4
ClC1=NC2=C(Cl)NC(Cl)=NC2=N1,R242,7.3
OC1=C(F)NC(F)=C(F)C1=O,R243,7.4
OC1=C(F)NC(F)=CC1=O,R244,7.4
O=C1NC=C(C#N)C(=O)N1,R245,1
ClC1=CC=CC=N1,R246,7
ClC1=CC=CC(=O)N1,R247,7.4
ClC1=CC=CC(=O)N1,R248,12
OC1=C(F)NC=CC1=O,R249,7.4
OC1=CNC=C(F)C1=O,R250,7.4
O=N(=O)C1=CC=N(=O)C=C1,R251,7
O=N(=O)C1=CC=N(=O)C=C1,R252,7.4
OC(=O)C1=CC(=O)NC(=O)N1,R253,1.2
O1C(=CC=C1N(=O)=O)\C=N\O,R254,7.4
CN1C(=O)NC(=O)C(=O)C1=O,R255,2
C1=CN2N=NN=C2C=C1,R256,7
N1C=NC2=C1C=NC=N2,R257,7
O=C1NC=NC2=C1NC=N2,R258,7.4
O=C1NC=NC2=C1C=NN2,R259,7.4
O=C1NC2=C(N1)C(=O)NC(=O)N2,R260,7.4
SC1=C2NC=NC2=NC=N1,R261,7.4
SC1=C2NC=NC2=NC=N1,R262,7
SC1=C2NC=NC2=NC=N1,R263,7.4
SC1=C2NC=NC2=NC=N1,R264,7.4
SC1=C2NC=NC2=NC=N1,R265,5.7
CC1=C(Br)C(=O)N(O)C(=O)N1,R266,7.3
NC1=CC=NC=C1F,R267,7.4
C1=CC=NC=C1,R268,7
C1=CC=NC=C1,R269,7.2
C1=CC=NC=C1,R270,3
C1=CC=NC=C1,R271,5.5
C1=CC=NC=C1,R272,7.4
O=N1=CC=CC=C1,R273,7.4
ON1C=CC=CC1=S,R274,7.3
ON1C=CC=CC1=S,R275,7.4
ON1C=CC=CC1=O,R276,7.3
ON1C=CC=CC1=O,R277,7.4
OC(=O)C1=CC=CN1,R278,2
NC(=O)C1=CC=CO1,R279,7
ON1C=CC(O)=CC1=O,R280,7.3
NC(=O)C1=CN=CC=N1,R281,7.2
NC(=O)C1=CN=CC=N1,R282,7.4
CN1C(C=O)=CN=C1N(=O)=O,R283,7.4
CN1C(C=O)=NC=C1N(=O)=O,R284,9
NC1=NC=NC2=C1N=CN2,R285,7.4
NC1=C2N=CN=C2N=CN1,R286,7.4
NC1=NC2=C(NC=N2)C(S)=N1,R287,8.2
NC1=NC2=C(NC=N2)C(S)=N1,R288,7.4
NC1=NC2=C(NC=N2)C(S)=N1,R289,5.7
NC1=NC2=C(NC=N2)C(S)=N1,R290,7.4
OCC(F)(F)CN1C=NC(=N1)N(=O)=O,R291,7.4
NC1=CC=NC=C1,R292,7.4
ON1C(=N)C=CC=C1,R293,7.4
NC1=CC=NC=C1O,R294,7.4
CC1=CC(=O)NC(=O)N1,R295,7.4
CN1C(=O)CC(=O)NC1=O,R296,7.8
NC(=O)CN1C=CN=C1N(=O)=O,R297,7.4
CC1=NNC(C(N)=O)=C1N(=O)=O,R298,1
ON=CCN1C=CN=C1N(=O)=O,R299,7.4
COC(=O)CN1C=NC(=N1)N(=O)=O,R300,7.4
OC(CCl)CN1C=NC(=N1)N(=O)=O,R301,7.4
OC(CF)CN1C=NC(=N1)N(=O)=O,R302,7.4
OC(=O)CNCC#C,R303,7.2
N12N=CC=C1NCC2,R304,7.4
NC1=CC=NC=C1N,R305,7.4
CN1C=NC(=C1C)N(=O)=O,R306,7.4
CC1=NC(C)=C(N1)N(=O)=O,R307,7.4
CSC1=NC=C(N1C)N(=O)=O,R308,7.4
CN1C(CO)=NC=C1N(=O)=O,R309,9
OCCN1C=CN=C1N(=O)=O,R310,7.4
CN1C(CO)=CN=C1N(=O)=O,R311,7.4
CC(=O)OP(O)(=O)C(Cl)(Cl)P(O)(=O)OC(C)=O,R312,2
CC(=O)OP(O)(=O)C(Cl)(Cl)P(O)(=O)OC(C)=O,R313,7.4
NCCC1=NC=CS1,R314,12
CCSSC1=NC=CN1,R315,7.4
CSC1=NN=C(C)C(=O)N1N,R316,7
O=C(NC)CNC(=O)C=N#N,R317,7.4
CNS(=O)(=O)C1=NN=C(NC(C)=O)S1,R318,7.2
CNS(=O)(=O)C1=NN=C(NC(C)=O)S1,R319,7.2
